Corrida 1
('N =', 1, '   tiempo transcurrido =', 0.0008614000034867786, '[seg] ', '   uso memoria total=', 8, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.0016154999975697137, '[seg] ', '   uso memoria total=', 200, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 0.002866400001948932, '[seg] ', '   uso memoria total=', 800, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.0004638999998860527, '[seg] ', '   uso memoria total=', 3200, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.001284599999053171, '[seg] ', '   uso memoria total=', 20000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0006548999990627635, '[seg] ', '   uso memoria total=', 80000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.02005789999748231, '[seg] ', '   uso memoria total=', 320000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.03235850000055507, '[seg] ', '   uso memoria total=', 2000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.061555100000987295, '[seg] ', '   uso memoria total=', 3920000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.17703709999841521, '[seg] ', '   uso memoria total=', 8000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 1.0510562000017671, '[seg] ', '   uso memoria total=', 32000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 12.495091900000261, '[seg] ', '   uso memoria total=', 200000000, '[bytes] ')
Corrida 2
('N =', 1, '   tiempo transcurrido =', 0.01679399999920861, '[seg] ', '   uso memoria total=', 8, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.0001049999991664663, '[seg] ', '   uso memoria total=', 200, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 0.00017220000154338777, '[seg] ', '   uso memoria total=', 800, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00011129999984405003, '[seg] ', '   uso memoria total=', 3200, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.00034750000122585334, '[seg] ', '   uso memoria total=', 20000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0006872999983897898, '[seg] ', '   uso memoria total=', 80000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0032179000008909497, '[seg] ', '   uso memoria total=', 320000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.034805100000085076, '[seg] ', '   uso memoria total=', 2000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.06930750000174157, '[seg] ', '   uso memoria total=', 3920000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.16128679999746964, '[seg] ', '   uso memoria total=', 8000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.8787474000018847, '[seg] ', '   uso memoria total=', 32000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 11.007647300000826, '[seg] ', '   uso memoria total=', 200000000, '[bytes] ')
Corrida 3
('N =', 1, '   tiempo transcurrido =', 0.018381999998382526, '[seg] ', '   uso memoria total=', 8, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00010630000178935006, '[seg] ', '   uso memoria total=', 200, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 7.310000000870787e-05, '[seg] ', '   uso memoria total=', 800, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00016429999959655106, '[seg] ', '   uso memoria total=', 3200, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.000454699998954311, '[seg] ', '   uso memoria total=', 20000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0006585999981325585, '[seg] ', '   uso memoria total=', 80000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0033226999985345174, '[seg] ', '   uso memoria total=', 320000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.0271708000000217, '[seg] ', '   uso memoria total=', 2000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.06694939999943017, '[seg] ', '   uso memoria total=', 3920000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.1658848000006401, '[seg] ', '   uso memoria total=', 8000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.8994320999991032, '[seg] ', '   uso memoria total=', 32000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 10.982269699998142, '[seg] ', '   uso memoria total=', 200000000, '[bytes] ')
Corrida 4
('N =', 1, '   tiempo transcurrido =', 0.017873400000098627, '[seg] ', '   uso memoria total=', 8, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 7.990000085555948e-05, '[seg] ', '   uso memoria total=', 200, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 0.002471300002071075, '[seg] ', '   uso memoria total=', 800, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 6.599999687750824e-05, '[seg] ', '   uso memoria total=', 3200, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.00019469999824650586, '[seg] ', '   uso memoria total=', 20000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.00038069999936851673, '[seg] ', '   uso memoria total=', 80000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0020317999988037627, '[seg] ', '   uso memoria total=', 320000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.02640590000009979, '[seg] ', '   uso memoria total=', 2000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.06479930000205059, '[seg] ', '   uso memoria total=', 3920000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.1658599000002141, '[seg] ', '   uso memoria total=', 8000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.8639428999995289, '[seg] ', '   uso memoria total=', 32000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 11.952560099998664, '[seg] ', '   uso memoria total=', 200000000, '[bytes] ')
Corrida 5
('N =', 1, '   tiempo transcurrido =', 0.09976850000020931, '[seg] ', '   uso memoria total=', 8, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00011069999891333282, '[seg] ', '   uso memoria total=', 200, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 7.230000119307078e-05, '[seg] ', '   uso memoria total=', 800, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.0001021999996737577, '[seg] ', '   uso memoria total=', 3200, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.0016528999985894188, '[seg] ', '   uso memoria total=', 20000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0015052000017021783, '[seg] ', '   uso memoria total=', 80000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.012947000002895948, '[seg] ', '   uso memoria total=', 320000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.06706640000265907, '[seg] ', '   uso memoria total=', 2000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.13969830000132788, '[seg] ', '   uso memoria total=', 3920000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.32601640000211773, '[seg] ', '   uso memoria total=', 8000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 1.1002947999986645, '[seg] ', '   uso memoria total=', 32000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 12.716610399998899, '[seg] ', '   uso memoria total=', 200000000, '[bytes] ')
Corrida 6
('N =', 1, '   tiempo transcurrido =', 0.021488399997906527, '[seg] ', '   uso memoria total=', 8, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00014350000128615648, '[seg] ', '   uso memoria total=', 200, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 0.00010850000035134144, '[seg] ', '   uso memoria total=', 800, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00014150000060908496, '[seg] ', '   uso memoria total=', 3200, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.00028499999825726263, '[seg] ', '   uso memoria total=', 20000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0007199000028776936, '[seg] ', '   uso memoria total=', 80000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0030994000007922295, '[seg] ', '   uso memoria total=', 320000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.0462002999993274, '[seg] ', '   uso memoria total=', 2000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.09433159999753116, '[seg] ', '   uso memoria total=', 3920000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.1801426000020001, '[seg] ', '   uso memoria total=', 8000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.9881185999984154, '[seg] ', '   uso memoria total=', 32000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 13.603720399998565, '[seg] ', '   uso memoria total=', 200000000, '[bytes] ')
Corrida 7
('N =', 1, '   tiempo transcurrido =', 0.01628820000041742, '[seg] ', '   uso memoria total=', 8, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00011379999705241062, '[seg] ', '   uso memoria total=', 200, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 5.48999996681232e-05, '[seg] ', '   uso memoria total=', 800, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 5.5900000006658956e-05, '[seg] ', '   uso memoria total=', 3200, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.00019500000053085387, '[seg] ', '   uso memoria total=', 20000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0006098000012570992, '[seg] ', '   uso memoria total=', 80000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.007120499998563901, '[seg] ', '   uso memoria total=', 320000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.04083270000046468, '[seg] ', '   uso memoria total=', 2000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.0702607999992324, '[seg] ', '   uso memoria total=', 3920000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.18391150000024936, '[seg] ', '   uso memoria total=', 8000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 1.0842025999991165, '[seg] ', '   uso memoria total=', 32000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 11.681934199998068, '[seg] ', '   uso memoria total=', 200000000, '[bytes] ')
Corrida 8
('N =', 1, '   tiempo transcurrido =', 0.03701099999670987, '[seg] ', '   uso memoria total=', 8, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00010889999975915998, '[seg] ', '   uso memoria total=', 200, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 8.049999814829789e-05, '[seg] ', '   uso memoria total=', 800, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 9.940000018104911e-05, '[seg] ', '   uso memoria total=', 3200, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.00033739999707904644, '[seg] ', '   uso memoria total=', 20000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0007562000027974136, '[seg] ', '   uso memoria total=', 80000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0022854000017105136, '[seg] ', '   uso memoria total=', 320000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.03812800000014249, '[seg] ', '   uso memoria total=', 2000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.08060159999877214, '[seg] ', '   uso memoria total=', 3920000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.19024459999855026, '[seg] ', '   uso memoria total=', 8000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 1.124546700000792, '[seg] ', '   uso memoria total=', 32000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 13.341231299997162, '[seg] ', '   uso memoria total=', 200000000, '[bytes] ')
Corrida 9
('N =', 1, '   tiempo transcurrido =', 0.02002879999781726, '[seg] ', '   uso memoria total=', 8, '[bytes] ')
