Corrida 1
('N =', 1, '   tiempo transcurrido =', 0.00026509999952395447, '[seg] ', '   uso memoria total=', 16, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00013179999950807542, '[seg] ', '   uso memoria total=', 400, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 0.00012960000094608404, '[seg] ', '   uso memoria total=', 1600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.0001632999992580153, '[seg] ', '   uso memoria total=', 6400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.001135700000304496, '[seg] ', '   uso memoria total=', 40000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.001523099999758415, '[seg] ', '   uso memoria total=', 160000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.003539100001944462, '[seg] ', '   uso memoria total=', 640000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.028930299999046838, '[seg] ', '   uso memoria total=', 4000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.04806280000047991, '[seg] ', '   uso memoria total=', 7840000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.1223454999999376, '[seg] ', '   uso memoria total=', 16000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 1.338686900002358, '[seg] ', '   uso memoria total=', 64000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 10.00126309999905, '[seg] ', '   uso memoria total=', 400000000, '[bytes] ')
Corrida 2
('N =', 1, '   tiempo transcurrido =', 0.04014659999666037, '[seg] ', '   uso memoria total=', 16, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.0002533999977458734, '[seg] ', '   uso memoria total=', 400, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 0.00015720000010333024, '[seg] ', '   uso memoria total=', 1600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00013899999976274557, '[seg] ', '   uso memoria total=', 6400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.0003457000020716805, '[seg] ', '   uso memoria total=', 40000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0008067000017035753, '[seg] ', '   uso memoria total=', 160000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.00208569999813335, '[seg] ', '   uso memoria total=', 640000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.018312500000320142, '[seg] ', '   uso memoria total=', 4000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.04749769999762066, '[seg] ', '   uso memoria total=', 7840000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.12123649999921327, '[seg] ', '   uso memoria total=', 16000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.9047451000005822, '[seg] ', '   uso memoria total=', 64000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 9.6114407999994, '[seg] ', '   uso memoria total=', 400000000, '[bytes] ')
Corrida 3
('N =', 1, '   tiempo transcurrido =', 0.03543770000032964, '[seg] ', '   uso memoria total=', 16, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00018369999816059135, '[seg] ', '   uso memoria total=', 400, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 9.449999924981967e-05, '[seg] ', '   uso memoria total=', 1600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00014960000044084154, '[seg] ', '   uso memoria total=', 6400, '[bytes] ')
