Corrida 1
('N =', 1, '   tiempo transcurrido =', 0.00015580000035697594, '[seg] ', '   uso memoria total=', 16, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 8.669999806443229e-05, '[seg] ', '   uso memoria total=', 400, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 7.729999924777076e-05, '[seg] ', '   uso memoria total=', 1600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00014110000120126642, '[seg] ', '   uso memoria total=', 6400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.0020665000010922085, '[seg] ', '   uso memoria total=', 40000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.008540499999071471, '[seg] ', '   uso memoria total=', 160000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0035886000005120877, '[seg] ', '   uso memoria total=', 640000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.03796930000316934, '[seg] ', '   uso memoria total=', 4000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.10934219999762718, '[seg] ', '   uso memoria total=', 7840000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.21959290000086185, '[seg] ', '   uso memoria total=', 16000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.961296699999366, '[seg] ', '   uso memoria total=', 64000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 9.959542100001272, '[seg] ', '   uso memoria total=', 400000000, '[bytes] ')
Corrida 2
('N =', 1, '   tiempo transcurrido =', 0.030225899998185923, '[seg] ', '   uso memoria total=', 16, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00011209999865968712, '[seg] ', '   uso memoria total=', 400, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 4.4600001274375245e-05, '[seg] ', '   uso memoria total=', 1600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 7.869999899412505e-05, '[seg] ', '   uso memoria total=', 6400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.0002668000015546568, '[seg] ', '   uso memoria total=', 40000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0009609000007912982, '[seg] ', '   uso memoria total=', 160000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.015926700001728022, '[seg] ', '   uso memoria total=', 640000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.020765599998412654, '[seg] ', '   uso memoria total=', 4000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.04725220000182162, '[seg] ', '   uso memoria total=', 7840000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.12533609999809414, '[seg] ', '   uso memoria total=', 16000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.7410380000001169, '[seg] ', '   uso memoria total=', 64000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 11.316334899998765, '[seg] ', '   uso memoria total=', 400000000, '[bytes] ')
Corrida 3
('N =', 1, '   tiempo transcurrido =', 0.03449460000047111, '[seg] ', '   uso memoria total=', 16, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00020020000010845251, '[seg] ', '   uso memoria total=', 400, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 9.969999882741831e-05, '[seg] ', '   uso memoria total=', 1600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.0001570999993418809, '[seg] ', '   uso memoria total=', 6400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.00040610000360175036, '[seg] ', '   uso memoria total=', 40000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0007667999998375308, '[seg] ', '   uso memoria total=', 160000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.001957699998456519, '[seg] ', '   uso memoria total=', 640000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.020689500001026317, '[seg] ', '   uso memoria total=', 4000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.04920729999867035, '[seg] ', '   uso memoria total=', 7840000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.14781550000043353, '[seg] ', '   uso memoria total=', 16000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.9306923000003735, '[seg] ', '   uso memoria total=', 64000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 10.312853400002496, '[seg] ', '   uso memoria total=', 400000000, '[bytes] ')
Corrida 4
('N =', 1, '   tiempo transcurrido =', 0.033570900002814597, '[seg] ', '   uso memoria total=', 16, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.0001517000018793624, '[seg] ', '   uso memoria total=', 400, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 6.609999763895757e-05, '[seg] ', '   uso memoria total=', 1600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.0001871999993454665, '[seg] ', '   uso memoria total=', 6400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.0006223999989742879, '[seg] ', '   uso memoria total=', 40000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0007304999999178108, '[seg] ', '   uso memoria total=', 160000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.001954300001671072, '[seg] ', '   uso memoria total=', 640000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.019047899997531204, '[seg] ', '   uso memoria total=', 4000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.05221710000114399, '[seg] ', '   uso memoria total=', 7840000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.14403759999913746, '[seg] ', '   uso memoria total=', 16000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.7187679999988177, '[seg] ', '   uso memoria total=', 64000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 11.496998500002519, '[seg] ', '   uso memoria total=', 400000000, '[bytes] ')
Corrida 5
('N =', 1, '   tiempo transcurrido =', 0.04916700000103447, '[seg] ', '   uso memoria total=', 16, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00015420000272570178, '[seg] ', '   uso memoria total=', 400, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 8.090000119409524e-05, '[seg] ', '   uso memoria total=', 1600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00011870000162161887, '[seg] ', '   uso memoria total=', 6400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.0003279000011389144, '[seg] ', '   uso memoria total=', 40000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0007345999983954243, '[seg] ', '   uso memoria total=', 160000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0022515000018756837, '[seg] ', '   uso memoria total=', 640000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.020269599997845944, '[seg] ', '   uso memoria total=', 4000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.04893869999796152, '[seg] ', '   uso memoria total=', 7840000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.136858800000482, '[seg] ', '   uso memoria total=', 16000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.8259665000005043, '[seg] ', '   uso memoria total=', 64000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 10.03181019999829, '[seg] ', '   uso memoria total=', 400000000, '[bytes] ')
Corrida 6
('N =', 1, '   tiempo transcurrido =', 0.04390219999913825, '[seg] ', '   uso memoria total=', 16, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00014710000323248096, '[seg] ', '   uso memoria total=', 400, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 6.480000229203142e-05, '[seg] ', '   uso memoria total=', 1600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00011799999992945231, '[seg] ', '   uso memoria total=', 6400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.00032329999885405414, '[seg] ', '   uso memoria total=', 40000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0010419999998703133, '[seg] ', '   uso memoria total=', 160000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0020299000025261194, '[seg] ', '   uso memoria total=', 640000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.017969000000448432, '[seg] ', '   uso memoria total=', 4000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.06146939999962342, '[seg] ', '   uso memoria total=', 7840000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.1186874999984866, '[seg] ', '   uso memoria total=', 16000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.7838903999981994, '[seg] ', '   uso memoria total=', 64000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 9.652393300002586, '[seg] ', '   uso memoria total=', 400000000, '[bytes] ')
Corrida 7
('N =', 1, '   tiempo transcurrido =', 0.05014120000123512, '[seg] ', '   uso memoria total=', 16, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00011820000145235099, '[seg] ', '   uso memoria total=', 400, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 5.620000229100697e-05, '[seg] ', '   uso memoria total=', 1600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 8.829999933368526e-05, '[seg] ', '   uso memoria total=', 6400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.000276400001894217, '[seg] ', '   uso memoria total=', 40000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0009538000012980774, '[seg] ', '   uso memoria total=', 160000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0021010000018577557, '[seg] ', '   uso memoria total=', 640000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.020627900001272792, '[seg] ', '   uso memoria total=', 4000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.05261840000093798, '[seg] ', '   uso memoria total=', 7840000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.13021850000222912, '[seg] ', '   uso memoria total=', 16000000, '[bytes] ')
