Corrida 1
('N =', 1, '   tiempo transcurrido =', 0.0002564000023994595, '[seg] ', '   uso memoria total=', 6, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00012159999823779799, '[seg] ', '   uso memoria total=', 150, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 9.630000204197131e-05, '[seg] ', '   uso memoria total=', 600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.0001702999979897868, '[seg] ', '   uso memoria total=', 2400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.00037959999826853164, '[seg] ', '   uso memoria total=', 15000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0007428999997500796, '[seg] ', '   uso memoria total=', 60000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0016748999987612478, '[seg] ', '   uso memoria total=', 240000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.016824300000735093, '[seg] ', '   uso memoria total=', 1500000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.04544330000135233, '[seg] ', '   uso memoria total=', 2940000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.09391179999875021, '[seg] ', '   uso memoria total=', 6000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.4150037999970664, '[seg] ', '   uso memoria total=', 24000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 5.05934740000157, '[seg] ', '   uso memoria total=', 150000000, '[bytes] ')
Corrida 2
('N =', 1, '   tiempo transcurrido =', 0.026198700001259567, '[seg] ', '   uso memoria total=', 6, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.0002853999976650812, '[seg] ', '   uso memoria total=', 150, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 0.00012240000069141388, '[seg] ', '   uso memoria total=', 600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.0002449999992677476, '[seg] ', '   uso memoria total=', 2400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.00042640000174287707, '[seg] ', '   uso memoria total=', 15000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0010144000007130671, '[seg] ', '   uso memoria total=', 60000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0019362000020919368, '[seg] ', '   uso memoria total=', 240000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.012891399997897679, '[seg] ', '   uso memoria total=', 1500000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.03558569999950123, '[seg] ', '   uso memoria total=', 2940000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.08718489999955636, '[seg] ', '   uso memoria total=', 6000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.4789359999995213, '[seg] ', '   uso memoria total=', 24000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 5.546775100003288, '[seg] ', '   uso memoria total=', 150000000, '[bytes] ')
Corrida 3
('N =', 1, '   tiempo transcurrido =', 0.01384929999767337, '[seg] ', '   uso memoria total=', 6, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00017719999959808774, '[seg] ', '   uso memoria total=', 150, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 0.00019070000053034164, '[seg] ', '   uso memoria total=', 600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00019940000129281543, '[seg] ', '   uso memoria total=', 2400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.0003302999975858256, '[seg] ', '   uso memoria total=', 15000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.002893400000175461, '[seg] ', '   uso memoria total=', 60000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0014927000011084601, '[seg] ', '   uso memoria total=', 240000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.017119399999501184, '[seg] ', '   uso memoria total=', 1500000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.026632099998096237, '[seg] ', '   uso memoria total=', 2940000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.062181700002838625, '[seg] ', '   uso memoria total=', 6000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.4449380000005476, '[seg] ', '   uso memoria total=', 24000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 5.608066799999506, '[seg] ', '   uso memoria total=', 150000000, '[bytes] ')
Corrida 4
('N =', 1, '   tiempo transcurrido =', 0.01491139999779989, '[seg] ', '   uso memoria total=', 6, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00020199999926262535, '[seg] ', '   uso memoria total=', 150, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 8.940000043367036e-05, '[seg] ', '   uso memoria total=', 600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00019360000078449957, '[seg] ', '   uso memoria total=', 2400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.0004383999985293485, '[seg] ', '   uso memoria total=', 15000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0006328999988909345, '[seg] ', '   uso memoria total=', 60000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0025495000008959323, '[seg] ', '   uso memoria total=', 240000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.013206600000557955, '[seg] ', '   uso memoria total=', 1500000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.0345123999977659, '[seg] ', '   uso memoria total=', 2940000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.0668733999991673, '[seg] ', '   uso memoria total=', 6000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.43182510000042384, '[seg] ', '   uso memoria total=', 24000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 5.525686400000268, '[seg] ', '   uso memoria total=', 150000000, '[bytes] ')
Corrida 5
('N =', 1, '   tiempo transcurrido =', 0.016864599998370977, '[seg] ', '   uso memoria total=', 6, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00015549999807262793, '[seg] ', '   uso memoria total=', 150, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 8.210000305552967e-05, '[seg] ', '   uso memoria total=', 600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00017609999849810265, '[seg] ', '   uso memoria total=', 2400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.002334199998585973, '[seg] ', '   uso memoria total=', 15000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0008010999990801793, '[seg] ', '   uso memoria total=', 60000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0017071000002033543, '[seg] ', '   uso memoria total=', 240000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.009393300002557226, '[seg] ', '   uso memoria total=', 1500000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.02529040000081295, '[seg] ', '   uso memoria total=', 2940000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.0635679999977583, '[seg] ', '   uso memoria total=', 6000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.4095612000019173, '[seg] ', '   uso memoria total=', 24000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 4.342216799999733, '[seg] ', '   uso memoria total=', 150000000, '[bytes] ')
Corrida 6
('N =', 1, '   tiempo transcurrido =', 0.01391220000004978, '[seg] ', '   uso memoria total=', 6, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00019150000298395753, '[seg] ', '   uso memoria total=', 150, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 8.520000119460747e-05, '[seg] ', '   uso memoria total=', 600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.0001843999998527579, '[seg] ', '   uso memoria total=', 2400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.00041789999886532314, '[seg] ', '   uso memoria total=', 15000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0008252000006905291, '[seg] ', '   uso memoria total=', 60000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0032385000013164245, '[seg] ', '   uso memoria total=', 240000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.010217200000624871, '[seg] ', '   uso memoria total=', 1500000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.026887299998634262, '[seg] ', '   uso memoria total=', 2940000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.0683275000010326, '[seg] ', '   uso memoria total=', 6000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.41761220000262256, '[seg] ', '   uso memoria total=', 24000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 5.689079700001457, '[seg] ', '   uso memoria total=', 150000000, '[bytes] ')
Corrida 7
('N =', 1, '   tiempo transcurrido =', 0.01682740000251215, '[seg] ', '   uso memoria total=', 6, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00012740000238409266, '[seg] ', '   uso memoria total=', 150, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 5.0499998906161636e-05, '[seg] ', '   uso memoria total=', 600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.0001202000021294225, '[seg] ', '   uso memoria total=', 2400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.00026359999901615083, '[seg] ', '   uso memoria total=', 15000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.000599899998633191, '[seg] ', '   uso memoria total=', 60000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.001754699998855358, '[seg] ', '   uso memoria total=', 240000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.009939800002030097, '[seg] ', '   uso memoria total=', 1500000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.03170349999709288, '[seg] ', '   uso memoria total=', 2940000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.07066910000139615, '[seg] ', '   uso memoria total=', 6000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.4978233000001637, '[seg] ', '   uso memoria total=', 24000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 4.968230999998923, '[seg] ', '   uso memoria total=', 150000000, '[bytes] ')
Corrida 8
('N =', 1, '   tiempo transcurrido =', 0.01539010000124108, '[seg] ', '   uso memoria total=', 6, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.0001542999998491723, '[seg] ', '   uso memoria total=', 150, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 7.170000026235357e-05, '[seg] ', '   uso memoria total=', 600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.0001480999999330379, '[seg] ', '   uso memoria total=', 2400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.0003155999984301161, '[seg] ', '   uso memoria total=', 15000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0009874999996100087, '[seg] ', '   uso memoria total=', 60000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.001679699998931028, '[seg] ', '   uso memoria total=', 240000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.010797399998409674, '[seg] ', '   uso memoria total=', 1500000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.029586799999378854, '[seg] ', '   uso memoria total=', 2940000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.07675620000009076, '[seg] ', '   uso memoria total=', 6000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.41697260000000824, '[seg] ', '   uso memoria total=', 24000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 4.97723760000008, '[seg] ', '   uso memoria total=', 150000000, '[bytes] ')
Corrida 9
('N =', 1, '   tiempo transcurrido =', 0.014319699999759905, '[seg] ', '   uso memoria total=', 6, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00020600000061676838, '[seg] ', '   uso memoria total=', 150, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 0.0001326000019616913, '[seg] ', '   uso memoria total=', 600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.0002978000011353288, '[seg] ', '   uso memoria total=', 2400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.00046149999980116263, '[seg] ', '   uso memoria total=', 15000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0009639000018069055, '[seg] ', '   uso memoria total=', 60000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.001902799998788396, '[seg] ', '   uso memoria total=', 240000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.009874999999738066, '[seg] ', '   uso memoria total=', 1500000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.026983899999322603, '[seg] ', '   uso memoria total=', 2940000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.07264289999875473, '[seg] ', '   uso memoria total=', 6000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.4105925000003481, '[seg] ', '   uso memoria total=', 24000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 5.008289699999295, '[seg] ', '   uso memoria total=', 150000000, '[bytes] ')
Corrida 10
('N =', 1, '   tiempo transcurrido =', 0.01796209999884013, '[seg] ', '   uso memoria total=', 6, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00016959999993559904, '[seg] ', '   uso memoria total=', 150, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 8.53000019560568e-05, '[seg] ', '   uso memoria total=', 600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00015410000196425244, '[seg] ', '   uso memoria total=', 2400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.00034750000122585334, '[seg] ', '   uso memoria total=', 15000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0009849999987636693, '[seg] ', '   uso memoria total=', 60000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0016595000015513506, '[seg] ', '   uso memoria total=', 240000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.010915700000623474, '[seg] ', '   uso memoria total=', 1500000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.026090800001838943, '[seg] ', '   uso memoria total=', 2940000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.08566390000123647, '[seg] ', '   uso memoria total=', 6000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.6779501999990316, '[seg] ', '   uso memoria total=', 24000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 5.759671499999968, '[seg] ', '   uso memoria total=', 150000000, '[bytes] ')
