Corrida 1('N =', 1, '   tiempo transcurrido =', 1.3499999113264494e-05, '[seg] ', '   uso memoria total=', 12, '[bytes] ', '   flops =', 74074.07893956415, '[flops/seg]')
Corrida 1('N =', 4, '   tiempo transcurrido =', 2.370000038354192e-05, '[seg] ', '   uso memoria total=', 192, '[bytes] ', '   flops =', 2700421.897226793, '[flops/seg]')
Corrida 1('N =', 10, '   tiempo transcurrido =', 8.799999704933725e-06, '[seg] ', '   uso memoria total=', 1200, '[bytes] ', '   flops =', 113636367.4466204, '[flops/seg]')
Corrida 1('N =', 16, '   tiempo transcurrido =', 8.099999831756577e-06, '[seg] ', '   uso memoria total=', 3072, '[bytes] ', '   flops =', 505679022.8490333, '[flops/seg]')
Corrida 1('N =', 20, '   tiempo transcurrido =', 9.699999282020144e-06, '[seg] ', '   uso memoria total=', 4800, '[bytes] ', '   flops =', 824742329.0874617, '[flops/seg]')
Corrida 1('N =', 35, '   tiempo transcurrido =', 1.2499998774728738e-05, '[seg] ', '   uso memoria total=', 14700, '[bytes] ', '   flops =', 3430000336.2144675, '[flops/seg]')
Corrida 1('N =', 49, '   tiempo transcurrido =', 7.110000115062576e-05, '[seg] ', '   uso memoria total=', 28812, '[bytes] ', '   flops =', 1654697582.223099, '[flops/seg]')
Corrida 1('N =', 50, '   tiempo transcurrido =', 1.8500000805943273e-05, '[seg] ', '   uso memoria total=', 30000, '[bytes] ', '   flops =', 6756756462.402032, '[flops/seg]')
Corrida 1('N =', 75, '   tiempo transcurrido =', 2.6699999580159783e-05, '[seg] ', '   uso memoria total=', 67500, '[bytes] ', '   flops =', 15800562046.206419, '[flops/seg]')
Corrida 1('N =', 100, '   tiempo transcurrido =', 4.3000000005122274e-05, '[seg] ', '   uso memoria total=', 120000, '[bytes] ', '   flops =', 23255813950.71808, '[flops/seg]')
Corrida 1('N =', 125, '   tiempo transcurrido =', 6.500000017695129e-05, '[seg] ', '   uso memoria total=', 187500, '[bytes] ', '   flops =', 30048076841.276215, '[flops/seg]')
Corrida 1('N =', 150, '   tiempo transcurrido =', 0.00011480000102892518, '[seg] ', '   uso memoria total=', 270000, '[bytes] ', '   flops =', 29398954440.336895, '[flops/seg]')
Corrida 1('N =', 250, '   tiempo transcurrido =', 0.0004728999992948957, '[seg] ', '   uso memoria total=', 750000, '[bytes] ', '   flops =', 33040812060.260563, '[flops/seg]')
Corrida 1('N =', 500, '   tiempo transcurrido =', 0.003569900000002235, '[seg] ', '   uso memoria total=', 3000000, '[bytes] ', '   flops =', 35014986414.163345, '[flops/seg]')
Corrida 1('N =', 700, '   tiempo transcurrido =', 0.010026999998444808, '[seg] ', '   uso memoria total=', 5880000, '[bytes] ', '   flops =', 34207639378.996655, '[flops/seg]')
Corrida 1('N =', 750, '   tiempo transcurrido =', 0.01480239999909827, '[seg] ', '   uso memoria total=', 6750000, '[bytes] ', '   flops =', 28500445875.378296, '[flops/seg]')
Corrida 1('N =', 1000, '   tiempo transcurrido =', 0.042625199999747565, '[seg] ', '   uso memoria total=', 12000000, '[bytes] ', '   flops =', 23460300479.667477, '[flops/seg]')
Corrida 1('N =', 2000, '   tiempo transcurrido =', 0.2696882000000187, '[seg] ', '   uso memoria total=', 48000000, '[bytes] ', '   flops =', 29663885924.55823, '[flops/seg]')
Corrida 1('N =', 5000, '   tiempo transcurrido =', 2.8304153000008228, '[seg] ', '   uso memoria total=', 300000000, '[bytes] ', '   flops =', 44163130407.03379, '[flops/seg]')

Corrida2('N =', 1, '   tiempo transcurrido =', 1.2500000593718141e-05, '[seg] ', '   uso memoria total=', 12, '[bytes] ', '   flops =', 79999.99620020407, '[flops/seg]')
Corrida2('N =', 4, '   tiempo transcurrido =', 2.6100000468431972e-05, '[seg] ', '   uso memoria total=', 192, '[bytes] ', '   flops =', 2452107.2356840833, '[flops/seg]')
Corrida2('N =', 10, '   tiempo transcurrido =', 1.1899999663000926e-05, '[seg] ', '   uso memoria total=', 1200, '[bytes] ', '   flops =', 84033615.82514712, '[flops/seg]')
Corrida2('N =', 16, '   tiempo transcurrido =', 9.40000063565094e-06, '[seg] ', '   uso memoria total=', 3072, '[bytes] ', '   flops =', 435744651.38494706, '[flops/seg]')
Corrida2('N =', 20, '   tiempo transcurrido =', 1.1599999197642319e-05, '[seg] ', '   uso memoria total=', 4800, '[bytes] ', '   flops =', 689655220.1163933, '[flops/seg]')
Corrida2('N =', 35, '   tiempo transcurrido =', 1.3099999705445953e-05, '[seg] ', '   uso memoria total=', 14700, '[bytes] ', '   flops =', 3272900836.950091, '[flops/seg]')
Corrida2('N =', 49, '   tiempo transcurrido =', 3.910000123141799e-05, '[seg] ', '   uso memoria total=', 28812, '[bytes] ', '   flops =', 3008925736.4387393, '[flops/seg]')
Corrida2('N =', 50, '   tiempo transcurrido =', 1.9999999494757503e-05, '[seg] ', '   uso memoria total=', 30000, '[bytes] ', '   flops =', 6250000157.888285, '[flops/seg]')
Corrida2('N =', 75, '   tiempo transcurrido =', 2.7399999453336932e-05, '[seg] ', '   uso memoria total=', 67500, '[bytes] ', '   flops =', 15396898117.405678, '[flops/seg]')
Corrida2('N =', 100, '   tiempo transcurrido =', 4.2300000131945126e-05, '[seg] ', '   uso memoria total=', 120000, '[bytes] ', '   flops =', 23640661864.792667, '[flops/seg]')
Corrida2('N =', 125, '   tiempo transcurrido =', 0.00012880000031145755, '[seg] ', '   uso memoria total=', 187500, '[bytes] ', '   flops =', 15164013938.486439, '[flops/seg]')
Corrida2('N =', 150, '   tiempo transcurrido =', 0.00019359999896551017, '[seg] ', '   uso memoria total=', 270000, '[bytes] ', '   flops =', 17432851332.820805, '[flops/seg]')
Corrida2('N =', 250, '   tiempo transcurrido =', 0.0006728999996994389, '[seg] ', '   uso memoria total=', 750000, '[bytes] ', '   flops =', 23220389369.860523, '[flops/seg]')
Corrida2('N =', 500, '   tiempo transcurrido =', 0.004418500000610948, '[seg] ', '   uso memoria total=', 3000000, '[bytes] ', '   flops =', 28290143710.01838, '[flops/seg]')
Corrida2('N =', 700, '   tiempo transcurrido =', 0.007838099998480175, '[seg] ', '   uso memoria total=', 5880000, '[bytes] ', '   flops =', 43760605257.20627, '[flops/seg]')
Corrida2('N =', 750, '   tiempo transcurrido =', 0.01768860000083805, '[seg] ', '   uso memoria total=', 6750000, '[bytes] ', '   flops =', 23850106847.34871, '[flops/seg]')
Corrida2('N =', 1000, '   tiempo transcurrido =', 0.03374970000004396, '[seg] ', '   uso memoria total=', 12000000, '[bytes] ', '   flops =', 29629893006.417763, '[flops/seg]')
Corrida2('N =', 2000, '   tiempo transcurrido =', 0.17740279999998165, '[seg] ', '   uso memoria total=', 48000000, '[bytes] ', '   flops =', 45095116875.27383, '[flops/seg]')
Corrida2('N =', 5000, '   tiempo transcurrido =', 3.0968933000003744, '[seg] ', '   uso memoria total=', 300000000, '[bytes] ', '   flops =', 40363030912.296814, '[flops/seg]')

Corrida3('N =', 1, '   tiempo transcurrido =', 0.01269030000003113, '[seg] ', '   uso memoria total=', 12, '[bytes] ', '   flops =', 78.80034356930466, '[flops/seg]')
Corrida3('N =', 4, '   tiempo transcurrido =', 3.4800001230905764e-05, '[seg] ', '   uso memoria total=', 192, '[bytes] ', '   flops =', 1839080.3947202684, '[flops/seg]')
Corrida3('N =', 10, '   tiempo transcurrido =', 1.1699999959091656e-05, '[seg] ', '   uso memoria total=', 1200, '[bytes] ', '   flops =', 85470085.76892647, '[flops/seg]')
Corrida3('N =', 16, '   tiempo transcurrido =', 1.1199999789823778e-05, '[seg] ', '   uso memoria total=', 3072, '[bytes] ', '   flops =', 365714292.5771829, '[flops/seg]')
